Date,Latitude,Longitude,Secchi Depth
2012-09-13,-4.89,29.59,10.4
2012-09-20,-4.89,29.59,11.4
2012-09-27,-4.89,29.59,12.4
2012-10-01,-4.89,29.59,12.8
2012-10-05,-4.89,29.59,11.9
2012-10-11,-4.89,29.59,13.1
2012-10-17,-4.89,29.59,11.1
2012-10-20,-4.89,29.59,11.4
2012-10-24,-4.89,29.59,11.8
2012-10-31,-4.89,29.59,11.6
2012-11-07,-4.89,29.59,10.7
2012-11-14,-4.89,29.59,12.2
2012-11-21,-4.89,29.59,12.6
2012-11-28,-4.89,29.59,10.7
2012-12-06,-4.89,29.59,14.2
2012-12-08,-4.89,29.59,13.8
2012-12-13,-4.89,29.59,14.1
2012-12-20,-4.89,29.59,14.8
2012-12-27,-4.89,29.59,13.9
2013-01-03,-4.89,29.59,12.8
2013-01-10,-4.89,29.59,12.8
2013-01-17,-4.89,29.59,13.2
2013-01-24,-4.89,29.59,11.9
2013-01-25,-4.89,29.59,14.1
2013-01-30,-4.89,29.59,13.8
2013-03-06,-4.89,29.59,9.7
2013-02-07,-4.89,29.59,13.5
2013-02-15,-4.89,29.59,12.8
2013-02-23,-4.89,29.59,11.5
2013-03-12,-4.89,29.59,14.5
2013-03-20,-4.89,29.59,12.4
2013-03-27,-4.89,29.59,13.2
2013-04-03,-4.89,29.59,10.2
2013-04-10,-4.89,29.59,17.5
2013-04-17,-4.89,29.59,19
2013-05-03,-4.89,29.59,11.7
2013-04-24,-4.89,29.59,16.9
2013-04-27,-4.89,29.59,16.8
2013-05-01,-4.89,29.59,13.9
2013-05-08,-4.89,29.59,13.7
2013-05-15,-4.89,29.59,13.1
2013-05-22,-4.89,29.59,14.8
2013-05-29,-4.89,29.59,16.2
2013-06-05,-4.89,29.59,12.6
2013-06-12,-4.89,29.59,12.8
2013-06-27,-4.89,29.59,13
2013-07-04,-4.89,29.59,11.9
2013-07-11,-4.89,29.59,15.4
2013-07-25,-4.89,29.59,9.3
2013-01-08,-4.89,29.59,11.8
2013-08-08,-4.89,29.59,9.4
